Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
GBM Resources Limited	ASX:GBZ	Operator: GBM Resources Limited  Owner: GBM Resources Limited (100%) Optioner: GBM Resources Limited, Optionee: Wise Walkers Limited	Twin Hills	Au	45,655 kt @ 1.26 g/t Au, 1,844,200 oz Au	Advanced Exploration	Australia	Queensland	147.0979325	-21.96495345		107696.01	8197489.846	8197489.846			$12 Million Sale and Farm-in Agreement on Twin Hills Signed	Project Acquisition	  -   	https://app.mininghub.com/article/75288	Peter Rohner, GBM Managing Director and CEO			Farm-in agreement for Wise Walkers to earn up to 70% JV interest in Twin Hills Gold Project (from GBM Resources)			4020000	6000000		4020000		#VALUE!	#VALUE!	-	0.008		20/10/2024 16:18:24
Constellation Resources Limited	ASX:RMS	Operator: Constellation Resources Limited  Owner: Constellation Resources Limited (100%)	Ularring	Cu,Au		Advanced Exploration	Australia	Western Australia	116.8041668	-31.46640644		18733.10	10716668.25	10716668.25			Acquisition of Ularring Copper Gold Project	Project Acquisition	  18,700 	https://app.mininghub.com/article/71131	Peter Woodman, Managing Director		100%	Agreement to acquire 100% of Ularring Copper Gold Project (by Constellation from Breaker/Ramelius)			-	-		#VALUE!	200000	#VALUE!	198310.45	1525465	0.13		11/09/2024 16:45:04
TG Metals Limited	ASX:TG6	Operator: TG Metals Limited  Owner: Montague Resources Australia Pty Ltd (80%) Owner: Barto Gold Pty Ltd (20%) Optioner: Montague Resources Australia Pty Ltd, Optionee: TG Metals Limited	Van Uden	Au	5.378 Mt @ 1.38 g/t Au, 238.0 koz Au	Advanced Exploration	Australia	Western Australia	119.6493866	-32.15183007		2236.11	7451420.8	7451420.8			Acquisition of Advanced WA Gold Project	Project Acquisition	  -   	https://app.mininghub.com/article/90173	David Selfe, CEO		80%	Acquisition of 80% interest in Van Uden Gold Project (by TG Metals from Montague Resources)			2010000	-	4000000	2680000	670000	2665500	655500	5700000	0.115		05/03/2025 16:47:30
Macro Metals Limited	ASX:M4M	Operator: Macro Metals Limited  Owner: Firebird Metals Limited (100%) Optioner: Firebird Metals Limited, Optionee: Macro Metals Limited	Wandanya	Mn		Early Stage	Australia	Western Australia	120.8875002	-21.94270794		5083.94	31659340.224	31659340.224			Macro Completes Acquisition of DSO Manganese Assets	Project Acquisition	  5,100 	https://app.mininghub.com/article/74646	Simon Rushton, Managing Director		80%	Acquisition of 80% interest in Wandanya and Disraeli Projects (DSO Manganese Assets) (by Macro Metals from Firebird Metals - completion)			75375	112500		75375		#VALUE!	#VALUE!	-	0.01		14/10/2024 17:02:06
Moho Resources Limited	ASX:MOH	Operator: Moho Resources Limited  Owner: Moho Resources Limited (100%)	Weld Range North	Ni,Cu,,,		Early Stage	Australia	Western Australia	117.491667	-26.85		1835.39	2923498.296	2923498.296			Sale of East Sampson Gold Project & Placement	Financing,Private Placement,Project Acquisition	  6,400 	https://app.mininghub.com/article/77545	Peter Christie, Chairman		100%	Sale of 100% of East Sampson Gold Project (by Moho to Mineral Mining Services)			4000000	-		4841553	841553	4673242.196	673242.196	168310549	0.004		03/11/2024 17:13:32
CuFe Ltd	ASX:CUF	Operator: CuFe Ltd  Owner: CuFe Ltd (100%)	West Arunta	Nb,REE	200Mt @ 1.0% Nb2O5	Early Stage	Australia	Western Australia	128.3176135	-21.36382567		28070.85	8079449.19	8079449.19			CuFe acquires West Arunta tenure with exciting targets	Project Acquisition	  -   	https://app.mininghub.com/article/65585	Mark Hancock, CuFe Executive Director		100%	Acquisition of 100% of exploration application E80/6052 (West Arunta) (by CuFe from Territory Prospecting)			60000	-	35000	85000	25000	70937.5	10937.5	1562500	0.007		17/07/2024 16:25:31
Anax Metals Limited	ASX:ANX	Operator: Anax Metals Limited  Owner: Anax Metals Limited (80%) Owner: Develop Global Limited (20%)	Whim Creek	Cu,Zn		Development	Australia	Western Australia	117.812192	-20.85371478		7978.75	6179652.969	6179652.969			New tenement application over Whim Creek greenstone belt	Project Acquisition	  -   	https://app.mininghub.com/article/84801	Geoff Laing, Managing Director		100%	Application for 100% of new Exploration License E47/5275 (Whim Creek) (by Anax Metals)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.008		21/01/2025 16:28:10
Great Western Gold Pty Ltd.	ASX:GBR	Operator: Great Western Gold Pty Ltd.  Owner: Great Boulder Resources Ltd (100%) Optioner: Great Boulder Resources Ltd, Optionee: Great Western Gold Pty Ltd.	Whiteheads	Au,Ni	7.45Mt @ 2.8g/t Au containing 668,000oz Au	Early Stage	Australia	Western Australia	121.6993344	-30.2266946		24546.69	50859722.378				Divestment of Non-Core Whiteheads Gold Project	Project Acquisition	  -   	https://app.mininghub.com/article/79472	Andrew Paterson, Managing Director		100%	Sale of 100% of Whiteheads Gold Project (by Great Boulder to Great Western Gold)			250000	-		1450000	1200000	1450000	1200000	6000000	0.2		20/11/2024 15:17:47
Dundas Minerals Limited	ASX:DUN	Operator: Dundas Minerals Limited  Owner: Dundas Minerals Limited (100%)	Windanya	Au	25,000oz Au	Advanced Exploration	Australia	Western Australia	121.24627	-30.34371607		1798.05	2358803.612	2358803.612			Option to Purchase Strategically Located Mining Licence	Project Acquisition	  -   	https://app.mininghub.com/article/73973	Shane Volk, Managing Director		100%	Option to acquire 100% of granted Mining Licence M 24/974 (Windanya Gold Project) (by Dundas Minerals from Rockland)			100000	150000	100000	200000	100000	#VALUE!	#VALUE!	-	0.019	1.5	07/10/2024 17:07:37
Cobra Resources PLC	ASX:ADN	Operator: Cobra Resources PLC  Owner: Cobra Resources PLC (100%) NSR: Elemental Altus Royalties Corp. (0.75%)	Wudinna	Au,REE		Advanced Exploration	Australia	South Australia	135.6835335	-32.8792722			24001093.823				Sale of shares in Cobra Resources	Company Update,Project Acquisition	  -   	https://app.mininghub.com/article/88858			100%	Sale of 100% of Wudinna Gold Project (by Andromeda for its remaining 25% interest, to Cobra Resources)			-	-		#VALUE!	636500	#VALUE!	100379300	52010000	1.93		23/02/2025 15:57:35
Spartan Resources Limited	ASX:FTL	Operator: Spartan Resources Limited  Owner: Spartan Resources Limited (100%)	Yalgoo	Au		Advanced Exploration	Australia	Western Australia	116.6492485	-28.25363597		107272.19	2223516286.505	2223516286.505			FTL: Divestment of WA Lithium Rights	Project Acquisition	  -   	https://app.mininghub.com/article/84946	Simon Lawson, Spartan Interim Executive Chairman			Acquisition of lithium rights over Yalgoo, Egerton and Dalgaranga Projects (by Spartan from Firetail)			275000	-		275000		#VALUE!	#VALUE!	-	2.16		22/01/2025 15:17:50
Albion Resources Limited	ASX:GTE	Operator: Albion Resources Limited  Owner: Great Western Exploration Limited. (100%) Optioner: Great Western Exploration Limited., Optionee: Albion Resources Limited	Yandal West	Au	minimum 250,000 oz Au @ at least 0.75 g/t (0.5 g/t cut-off)	Early Stage	Australia	Western Australia	120.78001	-26.92165266		6114.06	6596666.65	6596666.65			Acquisition of High-Grade Yandal West Gold Project	Project Acquisition	  6,100 	https://app.mininghub.com/article/80252	Steven Formica, Albion’s Non-Executive Chairman		80%	Acquisition of Yandal West Gold Project (80% in E53/1612 & E53/1816, 100% in E53/1369) (by Albion Resources from Great Western Exploration)			-	-		#VALUE!	1000000	#VALUE!	1111111.1	22222222	0.05		27/11/2024 16:53:33
Cullen Resources Limited	ASX:CUL	Operator: Cullen Resources Limited  Owner: Unknown (100%) Optioner: Unknown, Optionee: Cullen Resources Limited	Yardilla	Au		Early Stage	Australia	Western Australia	122.6439539	-31.92173187		14856.23	2773607.396	2773607.396			Yardilla New Gold Project	Project Acquisition	  15,000 	https://app.mininghub.com/article/80231	Dr. Chris Ringrose, Managing Director		90%	Cullen to acquire up to 90% interest in ELA E63/2463 (Yardilla Project) - Option Exercised for IP and Mining Info			25000	-		25000		#VALUE!	#VALUE!	-	0.004	1.5	27/11/2024 16:08:02
Solstice Minerals Limited	ASX:SLS	Operator: Solstice Minerals Limited  Owner: Solstice Minerals Limited (100%)	Yarri (Bunjarra)	Au		Advanced Exploration	Australia	Western Australia	122.2591025	-29.64974081		154068.01	16552907.2	16552907.2			Tenement Sale - Yarri Project	Project Acquisition	  7,000 	https://app.mininghub.com/article/81135	Nick Castleden, CEO & Managing Director		100%	Sale of 100% of non-core Exploration Licence E31/1262 (Yarri Project) (by Solstice to KalGold)			10000000	-		10070000	70000	#VALUE!	#VALUE!	-		1	05/12/2024 16:31:06
EMX Royalty Corporation	ASX:MPK	Operator: EMX Royalty Corporation  Owner: EMX Royalty Corporation (100%) NSR: EMX Royalty Corporation (2.5%)	Yarrol	Au		Advanced Exploration	Australia	Queensland	151.3509544	-24.98187893			205783259	205783259	https://www.emxroyalty.com	https://www.emxroyalty.com	EMX Options its Queensland Gold Projects to Mila Resources	Project Acquisition	  59,520 	https://app.mininghub.com/article/77463	David M. Cole, President and CEO						16750	-		126750	110000	10416750	10400000	16000000	0.65	2.5	01/11/2024 06:30:00
Catalina Resources Ltd	ASX:CTN	Operator: Catalina Resources Ltd  Owner: Catalina Resources Ltd (100%)	Yerilgee	Au	1950koz @ 2.5g/t Au	Early Stage	Australia	Western Australia	120.0551348	-30.08005343		35801.42	3032523.784	3032523.784			Acquisition of Yerilgee and Evanston	Project Acquisition	  65,000 	https://app.mininghub.com/article/81534	Sanjay Loyalka, Executive Chairman		100%	Acquisition of 100% of Yerilgee and Evanston greenstone belts projects (by Catalina from Dreadnought)			250000	-		1250000	1000000	395000	145000	72500000	0.002	1	10/12/2024 15:17:24
Valkea Resources Corp.	TSXV:OZ	Operator: Valkea Resources Corp.  Owner: Valkea Resources Corp. (100%) Optioner: Valkea Resources Corp., Optionee: S2 Resources Ltd	Yeungroon	Au		Advanced Exploration	Australia	Victoria	143.4173733	-36.31737218		72800.52	40757219.37	9834939		https://www.outbackgoldfields.com	S2 acquires three new gold projects in Victoria	Project Acquisition	  72,800 	https://app.mininghub.com/article/80817	Mark Bennett, Executive Chairman		80%	S2 Resources to earn 80% interest in three Victorian gold projects (Silverspoon, Yeungroon, Ballarat West) (from Valkea Resources)			-	1200000		#VALUE!		#VALUE!	#VALUE!	-	0.21	2	03/12/2024 15:16:47
